Município,Código,Gentílico,Prefeito_2017,Área_Territorial_2018,População_estimada_pessoas_2019,Densidade_demográfica_2010,Escolarização_6_a_14_anos_%_2010,IDHMunicipal_2010,Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017,Receitas_realizadas_×1000_2017,Despesas_empenhadas_×1000_2017,PIB_per_capita_2017
Divinolândia,3513900,divinolandense,NAIEF HADDAD NETO,"223,749",11146,"50,46","98,6","0,734","8,62","41501,13217","31180,57134","26338,37"
Dobrada,3514007,dobradense,JOSÉ CARLOS SIMÃO,"149,729",8929,"53,02","99,5","0,718","16,67","22281,17032","18909,98197","13385,27"
Dois Córregos,3514106,dois-correguense,RUY DIOMEDES FAVARO,"632,972",27315,"39,12","96,7","0,725","11,98","79488,72696","69736,72159","24315,12"
Dolcinópolis,3514205,dolcinopolense,AMÉRICO RIBEIRO DO NASCIMENTO,"77,939",2115,"26,76",100,"0,742",-,"13251,7967","9814,63877","20999,28"
Dourado,3514304,douradense,LUIZ ANTONIO ROGANTE JUNIOR,"205,874",8873,"41,82",100,"0,738","31,25","32243,42162","27453,7845","66791,85"
Dracena,3514403,dracenense,JULIANO BRITO BERTOLINI,"487,688",46793,"88,64","98,2","0,776","10,18","119375,7842","109360,6929","25188,56"
Duartina,3514502,duartinense,ADERALDO PEREIRA DE SOUZA JUNIOR,"264,557",12445,"46,31","98,3","0,748","6,8","42598,5894","34796,01249","20076,39"
Dumont,3514601,dumonense,ALAN FRANCISCO FERRACINI,"111,376",9868,"73,13","97,6","0,744","9,71","29559,19567","25846,89081","24711,75"
Echaporã,3514700,echaporense,LUIS GUSTAVO EVANGELISTA,"515,258",6102,"12,26","98,8","0,745","24,69","25858,75298","21629,41985","20504,3"
Eldorado,3514809,eldoradense,DURVAL ADELIO DE MORAIS,"1654,256",15494,"8,85","97,3","0,691","14,56","45711,82871","39754,67225","23452,26"
Elias Fausto,3514908,elias-faustense,MAURICIO BARONI BERNARDINETTI,"202,36",17772,"77,83","97,3","0,695","14,42","56795,78942","52155,79784","36355,8"
Elisiário,3514924,elisiarense,RUBENS FRANCISCO,"93,98",3651,"33,2","98,6","0,747","26,32","17787,07463","15070,41166","19196,39"
Embaúba,3514957,embaubense,ROGERIO CLEBER PERES,"83,129",2452,"29,15",100,"0,73","55,56","17245,91596","14037,84829","21949,7"
Embu das Artes,3515004,embuense,CLAUDINEI ALVES DOS SANTOS,"70,398",273726,"3412,89","96,8","0,735","11,41","619272,8274","559806,5872","43860,23"
